Name,Year,Month,Time,DAY1,DAY2,DAY3,DAY4,DAY5,DAY6,DAY7,DAY8,DAY9,DAY10,DAY11,DAY12,DAY13,DAY14,DAY15,DAY16,DAY17,DAY18,DAY19,DAY20,DAY21,DAY22,DAY23,DAY24,DAY25,DAY26,DAY27,DAY28,DAY29,DAY30,DAY31
KIAMO-Accra,2004,10,06:00,95,92,93,96,95,94,93,91,94,92,93,91,94,93,97,91,92,95,93,94,93,93,96,92,92,88,95,92,94,94,90
KIAMO-Accra,2004,10,15:00,70,68,71,77,76,69,67,61,69,63,74,68,75,64,75,67,78,65,66,70,94,68,64,65,87,65,67,63,91,63,66
KIAMO-Accra,2004,11,06:00,90,93,92,92,91,92,92,88,93,91,92,92,92,92,89,91,92,91,93,92,89,89,92,92,92,92,92,90,93,90,
KIAMO-Accra,2004,11,15:00,67,66,65,56,69,52,66,63,65,63,63,65,66,62,68,69,62,72,67,75,62,69,67,82,61,65,61,75,67,69,
KIAMO-Accra,2004,12,06:00,92,93,92,92,90,92,92,93,94,90,91,92,88,92,94,94,92,93,93,92,92,96,96,93,92,90,92,92,91,92,94
KIAMO-Accra,2004,12,15:00,66,54,66,67,71,65,58,64,62,63,69,69,70,66,66,68,66,63,67,70,66,59,63,61,66,60,63,60,68,70,62
KIAMO-Accra,2005,01,06:00,92,79,86,78,83,83,96,44,41,55,59,55,57,63,60,84,92,93,92,88,79,63,94,93,92,92,88,92,92,92,92
KIAMO-Accra,2005,01,15:00,69,55,58,44,57,43,21,14,16,17,25,17,39,42,36,55,60,46,48,57,39,59,60,63,70,63,61,68,56,53,65
KIAMO-Accra,2005,02,06:00,84,90,92,92,89,88,95,88,92,90,90,92,84,92,91,91,92,90,88,91,91,84,92,92,88,80,88,88,,,
KIAMO-Accra,2005,02,15:00,71,66,64,55,67,86,66,64,60,67,61,65,65,64,64,65,66,62,60,67,62,66,56,61,67,64,64,62,,,
KIAMO-Accra,2005,03,06:00,89,89,92,82,90,90,90,89,95,91,91,92,96,88,96,92,92,95,88,87,72,80,88,88,81,90,96,88,88,90,90
KIAMO-Accra,2005,03,15:00,59,58,55,56,62,60,62,63,63,64,58,60,67,69,67,65,65,58,72,74,55,67,66,49,53,64,66,59,61,58,67
KIAMO-Accra,2005,04,06:00,92,88,90,85,88,91,88,88,91,92,91,90,92,89,98,88,92,90,92,88,92,90,92,92,88,88,88,86,88,91,
KIAMO-Accra,2005,04,15:00,58,65,63,68,62,67,61,59,65,67,64,58,59,67,82,60,65,69,61,62,64,71,80,54,69,71,53,67,91,69,
KIAMO-Accra,2005,05,06:00,89,92,92,91,89,89,89,89,89,93,92,90,90,92,90,91,90,91,91,88,95,86,88,94,96,96,91,95,86,96,96
KIAMO-Accra,2005,05,15:00,66,72,74,74,65,66,64,67,65,62,55,64,63,60,58,66,79,70,72,65,66,69,85,63,69,96,71,68,74,86,72
KIAMO-Accra,2005,06,06:00,92,92,93,94,96,91,93,83,96,93,93,96,93,93,90,93,90,96,91,88,91,91,90,88,88,87,87,91,91,92,
KIAMO-Accra,2005,06,15:00,69,73,88,77,84,78,73,76,81,70,78,72,77,74,97,80,78,79,75,76,73,76,78,74,77,80,84,68,77,84,
KIAMO-Accra,2005,07,06:00,91,96,92,90,91,89,92,91,90,91,90,89,90,93,94,90,92,92,92,87,91,92,89,88,92,87,88,90,88,91,89
KIAMO-Accra,2005,07,15:00,86,94,74,70,74,66,67,73,69,61,69,70,74,76,65,69,96,77,64,70,74,67,71,70,78,77,76,71,70,65,70
KIAMO-Accra,2005,08,06:00,91,89,90,91,91,86,87,91,96,88,88,92,94,91,93,88,90,96,91,90,95,90,90,91,88,91,91,90,91,91,91
KIAMO-Accra,2005,08,15:00,71,74,64,71,74,70,75,70,63,70,77,82,70,71,69,80,83,74,67,68,66,68,91,78,71,71,67,65,74,75,67
KIAMO-Accra,2005,09,06:00,87,90,89,91,88,92,91,91,88,86,90,88,90,90,88,87,87,84,96,88,90,88,88,96,90,92,93,94,92,92,
KIAMO-Accra,2005,09,15:00,70,73,72,66,69,69,74,64,67,74,73,65,66,68,76,66,66,66,74,65,67,66,65,76,70,65,81,71,69,69,
KIAMO-Accra,2005,10,06:00,92,94,92,91,91,95,94,94,91,92,94,89,94,91,91,92,93,93,93,92,92,91,93,92,92,96,93,92,92,92,94
KIAMO-Accra,2005,10,15:00,67,71,65,71,62,61,71,72,65,73,64,65,62,66,62,57,64,63,70,70,74,65,62,83,64,70,73,71,62,73,71
KIAMO-Accra,2005,11,06:00,93,89,95,94,95,91,92,94,93,91,90,92,89,92,93,89,92,93,90,90,92,91,92,93,92,87,92,93,92,92,
KIAMO-Accra,2005,11,15:00,84,63,63,64,77,66,66,68,68,70,67,73,71,67,67,70,69,63,75,65,75,69,70,66,81,72,63,67,68,67,
KIAMO-Accra,2005,12,06:00,83,88,96,92,93,93,92,92,91,92,97,92,90,93,92,94,92,93,94,95,93,96,84,92,92,92,95,93,94,93,89
KIAMO-Accra,2005,12,15:00,78,62,63,61,66,70,58,66,73,67,74,63,66,69,67,60,65,64,67,70,55,67,70,53,70,61,62,63,67,72,69
KIAMO-Accra,2006,01,06:00,92,92,92,90,88,94,90,91,91,88,92,88,92,93,96,91,94,92,93,89,93,80,93,93,89,88,90,92,88,89,90
KIAMO-Accra,2006,01,15:00,61,69,72,68,74,63,66,74,62,60,63,67,65,61,64,78,66,65,68,63,57,60,69,65,64,66,70,71,67,55,75
KIAMO-Accra,2006,02,06:00,92,90,88,90,93,91,84,92,90,90,91,92,91,90,84,83,80,85,83,83,84,84,88,92,89,89,93,92,,,
KIAMO-Accra,2006,02,15:00,60,59,64,61,70,67,66,60,63,64,63,61,65,61,63,58,64,62,60,56,58,65,58,58,61,62,63,63,,,
KIAMO-Accra,2006,03,06:00,93,82,90,80,87,82,88,86,92,73,91,90,87,88,87,90,88,84,92,90,81,90,87,92,93,92,88,90,84,88,88
KIAMO-Accra,2006,03,15:00,61,64,63,60,64,62,65,60,65,69,61,61,62,63,62,62,61,55,59,59,64,92,57,57,58,60,69,56,53,53,55
KIAMO-Accra,2006,04,06:00,73,88,85,91,87,92,92,92,89,88,89,92,85,88,88,92,88,89,86,84,85,84,81,90,84,91,88,88,84,88,
KIAMO-Accra,2006,04,15:00,56,66,64,66,62,64,65,63,61,75,64,65,67,61,54,63,60,58,54,58,70,53,64,72,92,68,70,63,69,64,
KIAMO-Accra,2006,05,06:00,90,92,88,90,91,92,84,93,92,89,91,92,95,91,88,96,96,95,95,91,93,92,95,89,92,92,94,94,96,92,96
KIAMO-Accra,2006,05,15:00,63,57,64,59,67,66,67,70,64,65,71,65,70,60,75,79,76,69,77,86,73,66,75,68,63,67,67,91,71,64,75
KIAMO-Accra,2006,06,06:00,93,91,88,91,96,96,92,91,91,93,92,93,92,92,92,96,92,94,90,96,92,91,94,93,90,92,92,93,92,96,
